country,population
Abecásia,244832
Afeganistão,32225560
Albânia,2845955
Alemanha,83149300
Andorra,77543
Angola,31127674
Anguilla (Reino Unido),14869
Antígua e Barbuda,96453
Argentina,44938712
Argélia,43000000
Arménia,2957500
Aruba  (Países Baixos),112309
Arábia Saudita,34218169
Austrália,25699280
Azerbaijão,10067108
Bahamas,385340
Bahrein,1543300
Bangladesh,168557578
Barbados,287025
Belize,408487
Benim,11733059
Bermudas (Reino Unido),64027
Bielorrússia,9408400
Bolívia,11469896
Botswana,2338851
Brasil,211482342
Brunei,442400
Bulgária,6951482
Burkina Faso,20870060
Burundi,10953317
Butão,741672
Bélgica,11524454
Bósnia e Herzegovina,3301000
Cabo Verde,550483
Camarões,26545864
Camboja,15288489
Canadá,38017693
Catar,2747282
Cazaquistão,18694800
Chade,16244513
Chile,19107216
China,1402509320
Chipre,875900
Chéquia,10693939
Colômbia,49395678
Comores,873724
Congo,5518092
Coreia do Norte,25450000
Coreia do Sul,51780579
Costa Rica,5058007
Costa do Marfim,25823071
Croácia,4076246
Cuba,11209628
Curaçao (Países Baixos),158665
Dinamarca,5822763
Djibouti,1078373
Domínica,71808
Egito,100336647
El Salvador,6486201
Emirados Árabes Unidos,9890400
Equador,17479032
Eritreia,3497117
Eslováquia,5457873
Eslovénia,2094060
Espanha,47100396
Estados Federados da Micronésia,104468
Estados Unidos,329634908
Estónia,1328360
Eswatini,1093238
Etiópia,98665000
Fiji,884887
Filipinas,108584658
Finlândia,5528390
França,67075000
Gabão,2172579
Gana,30280811
Geórgia,3723464
Gibraltar (Reino Unido),33691
Granada,112003
Gronelândia (Dinamarca),56081
Grécia,10724599
Guam (Estados unidos),172400
Guatemala,16604026
Guernsey (Reino Unido),62792
Guiana,782766
Guiné,12218357
Guiné Equatorial,1358276
Guiné-Bissau,1604528
Gâmbia,2347706
Haiti,11577779
Honduras,9158345
Hong Kong (China),7500700
Hungria,9772756
Ilha Christmas (Austrália),1928
Ilha Norfolk (Austrália),1756
Ilha de Man  (Reino Unido),83314
Ilhas Cayman (Reino Unido),65813
Ilhas Cocos (Keeling)  (Austrália),538
Ilhas Cook,15200
Ilhas Faroe (Dinamarca),52337
Ilhas Malvinas (Reino Unido),3198
Ilhas Marshall,55500
Ilhas Pitcairn (UK),50
Ilhas Salomão,680806
Ilhas Turks e Caicos (Reino Unido),41369
Ilhas Virgens Britânicas  (Reino Unido),30030
Indonésia,266911900
Iraque,39127900
Irlanda,4921500
Irã,83421094
Islândia,366130
Israel,9192125
Itália,60238522
Iémen,29825968
Jamaica,2726667
Japão,125950000
Jersey  (Reino Unido),106800
Jordânia,10673288
Kiribati,120100
Kosovo,1795666
Kuwait,4420110
Laos,7123205
Lesoto,2007201
Letónia,1906800
Libéria,4475353
Liechtenstein,38749
Lituânia,2793471
Luxemburgo,626108
Líbano,6825442
Líbia,6871287
Macau (China),679600
Macedônia do Norte,2077132
Madagascar,26251309
Malawi,19129952
Maldivas,374775
Mali,20250833
Malta,493559
Malásia,32770760
Marianas Setentrionais  (Estados Unidos),56200
Marrocos,35888525
Mauritânia,4077347
Maurícia,1265577
Moldávia,2681735
Mongólia,3315999
Montenegro,622359
Montserrat  (Reino Unido),4989
Moçambique,30066648
Myanmar,54339766
México,126577691
Mónaco,38100
Namíbia,2458936
Nauru,11000
Nepal,29996478
Nicarágua,6460411
Nigéria,206139587
Niue,1520
Noruega,5367580
Nova Caledônia  (França),282200
Nova Zelândia,4983332
Níger,22314743
Oman,4664599
Ossétia do Sul,53532
Palau,17900
Palestina,4976684
Panamá,4218808
Papua-Nova Guiné,8935000
Paquistão,220892311
Paraguai,7252672
Países Baixos,17462581
Peru,32131400
Polinésia Francesa  (França),275918
Polónia,38379000
Porto Rico  (Estados Unidos),3193694
Portugal,10276617
Quirguistão,6533500
Quénia,47564296
Reino Unido,66435550
República Centro-Africana,5496011
República Democrática do Congo,89561404
República Dominicana,10358320
República Turca de Chipre do Norte,351965
Roménia,19405156
Ruanda,12374397
Rússia,146745098
Saara Ocidental,582463
Saint-Martin  (França),35334
Samoa,200874
Samoa Americana  (Estados Unidos),56700
San Marino,33533
"Santa Helena, Ascensão e Tristão da Cunha   (Reino Unido)",5633
Santa Lúcia,178696
Senegal,16209125
Serra Leoa,7901454
Seychelles,97625
Singapura,5703600
Somália,15893219
Sri Lanka,21803000
Sudão,42480095
Sudão do Sul,12778250
Suriname,581372
Suécia,10338368
Suíça,8603899
São Bartolomeu (França),9793
São Cristóvão e Nevis,52823
São Martinho  (Países Baixos),40614
São Pedro e Miquelon  (França),6008
São Tomé e Príncipe,201784
São Vicente e Granadinas,110608
Sérvia,6933764
Síria,17500657
Tailândia,66501392
Taiwan,23604265
Tajiquistão,9127000
Tanzânia,55890747
Timor-Leste,1387149
Togo,7538000
Tokelau   (NZ),1400
Tonga,100651
Transnístria,469000
Trinidad e Tobago,1363985
Tunísia,11722038
Turquemenistão,6031187
Turquia,83154997
Tuvalu,10200
U.S. Ilhas Virgens  (Estados Unidos),104578
Ucrânia,41858119
Uganda,40229300
Uruguai,3518552
Uzbequistão,34165089
Vanuatu,304500
Vaticano,825
Venezuela,32219521
Vietname,96208984
Wallis e Futuna  (França),11700
Zimbabwe,15159624
Zâmbia,17885422
África do Sul,58775022
Áustria,8902600
Índia,1361865555
