date,suspects,refuses,cases,deaths
2020-01-30,1,0,0,0
2020-01-31,0,1,0,0
2020-02-01,0,1,0,0
2020-02-02,0,1,0,0
2020-02-03,1,1,0,0
2020-02-04,1,2,0,0
2020-02-05,1,2,0,0
2020-02-06,1,2,0,0
2020-02-06,1,2,0,0
2020-02-07,1,2,0,0
2020-02-08,1,2,0,0
2020-02-09,2,2,0,0
2020-02-10,1,3,0,0
2020-02-11,2,3,0,0
2020-02-12,2,3,0,0
2020-02-13,0,5,0,0
2020-02-14,0,5,0,0
2020-02-15,0,5,0,0
2020-02-16,0,5,0,0
2020-02-17,0,5,0,0
2020-02-18,0,5,0,0
2020-02-19,0,5,0,0
2020-02-20,0,5,0,0
2020-02-21,1,5,0,0
2020-02-22,1,6,0,0
2020-02-23,1,7,0,0
2020-02-24,1,7,0,0
2020-02-25,0,8,0,0
2020-02-25,0,8,0,0
2020-02-26,2,8,0,0
2020-02-27,9,8,0,0
2020-02-28,19,8,0,0
2020-02-29,19,8,0,0
2020-03-01,19,8,0,0
2020-03-02,42,27,0,0
2020-03-03,62,29,0,0
2020-03-04,55,52,0,0
2020-03-05,79,58,1,0
2020-03-06,111,67,1,0
2020-03-07,111,67,2,0
2020-03-08,110,67,3,0
2020-03-10,119,85,8,0
2020-03-11,87,133,13,0
2020-03-12,76,146,16,0
2020-03-13,76,147,16,0
2020-03-14,76,147,22,0
2020-03-15,95,147,24,0
2020-03-16,96,153,31,0
2020-03-17,859,194,33,0
2020-03-18,1254,148,45,0
