,infectados,hospitalizados
0,250.0,89
1,282.788,101
2,311.83,112
3,338.364,121
4,363.37,130
5,388.011,139
6,412.768,148
7,438.16,157
8,465.357,167
9,492.873,177
10,522.586,187
11,552.757,198
12,584.234,209
13,617.805,222
14,653.681,234
15,691.303,248
16,731.038,262
17,773.518,278
18,818.487,294
19,865.811,311
20,915.447,329
21,968.907,348
22,1024.874,368
23,1084.839,389
24,1147.188,412
25,1214.54,436
26,1285.782,462
27,1359.855,488
28,1439.05,517
29,1523.228,547
30,1611.818,579
31,1706.202,613
32,1805.973,649
33,1911.416,686
34,2023.181,727
35,2142.255,769
36,2268.06,815
37,2400.784,862
38,2542.474,913
39,2693.757,968
40,2850.04,1024
41,3017.238,1084
42,3194.505,1148
43,3383.365,1215
44,3582.272,1287
45,3794.476,1363
46,4020.92,1445
47,4258.908,1530
48,4510.537,1621
49,4778.632,1717
50,5064.259,1820
51,5366.328,1928
52,5686.354,2043
53,6024.98,2165
54,6384.339,2294
55,6766.67,2431
56,7170.32,2577
57,7598.739,2730
58,8053.236,2894
59,8537.948,3068
60,9050.009,3252
61,9593.057,3447
62,10166.173,3653
63,10777.578,3873
64,11427.452,4107
65,12114.064,4353
66,12840.189,4614
67,13614.355,4892
68,14435.894,5188
69,15306.6,5501
70,16233.846,5834
71,17216.89,6187
72,18259.306,6562
73,19360.404,6958
74,20535.059,7380
75,21776.099,7826
76,23097.31,8301
77,24493.894,8803
78,25971.217,9334
79,27547.111,9900
80,29215.763,10500
81,30984.248,11135
82,32863.717,11811
83,34849.747,12524
84,36957.206,13282
85,39196.26,14087
86,41568.899,14939
87,44089.114,15845
88,46756.49,16804
89,49578.58,17818
90,52573.059,18894
91,55738.663,20032
92,59101.423,21241
93,62661.058,22520
94,66435.816,23877
95,70424.402,25310
96,74651.441,26829
97,79117.534,28434
98,83846.691,30134
99,88846.443,31931
100,94134.286,33831
101,99720.769,35839
102,105620.509,37960
103,111854.262,40200
104,118430.688,42563
105,125371.985,45058
106,132691.061,47689
107,140404.034,50461
108,148520.583,53378
109,157064.686,56449
110,166053.498,59679
111,175502.273,63075
112,185435.651,66645
113,195874.682,70397
114,206821.569,74331
115,218288.918,78453
116,230302.881,82770
117,242865.859,87285
118,256001.736,92007
119,269729.582,96940
120,284052.464,102088
121,298980.266,107453
122,314511.85,113035
123,330662.707,118840
124,347427.921,124865
125,364838.44,131122
126,382878.732,137606
127,401531.827,144310
128,420811.516,151239
129,440707.91,158390
130,461198.652,165754
131,482312.479,173343
132,503989.651,181133
133,526243.428,189131
134,549065.302,197334
135,572387.451,205716
136,596230.466,214285
137,620541.406,223022
138,645286.802,231916
139,670411.385,240945
140,695960.554,250128
141,721800.281,259415
142,747930.57,268806
143,774314.146,278288
144,800883.334,287837
145,827631.815,297450
146,854458.277,307092
147,881338.643,316753
148,908215.134,326412
149,935024.952,336047
150,961727.873,345644
151,988303.792,355196
152,1014662.543,364669
153,1040728.439,374037
154,1066453.603,383283
155,1091814.234,392398
156,1116739.654,401356
157,1141146.774,410128
158,1165027.333,418710
159,1188279.818,427067
160,1210898.188,435196
161,1232819.404,443075
162,1254022.061,450695
163,1274423.519,458027
164,1294012.148,465067
165,1312715.539,471789
166,1330532.534,478193
167,1347442.722,484270
168,1363358.472,489991
169,1378297.577,495360
170,1392226.074,500366
171,1405132.179,505004
172,1417006.018,509271
173,1427778.167,513143
174,1437460.28,516623
175,1446079.117,519720
176,1453607.296,522426
177,1460029.869,524734
178,1465373.81,526655
179,1469603.152,528175
