period,origin,destination,amount
1,1,1,310
1,2,1,906
1,3,3,470
1,5,5,177
1,6,6,235
1,4,7,96
1,7,7,371
1,8,8,248
1,9,9,259
1,10,10,298
1,11,11,274
1,12,12,479
1,13,13,304
1,14,14,424
1,4,15,1994
1,8,15,205
1,15,15,41
1,16,16,500
1,2,17,3195
1,17,17,99
1,24,17,500
1,18,18,304
1,19,19,9
1,20,20,500
1,21,21,443
1,22,22,497
1,2,23,453
1,23,23,236
1,25,25,286
1,26,26,413
1,27,27,70
1,28,28,93
1,2,29,276
1,29,29,103
1,30,30,484
2,1,1,350
2,2,2,2612
2,3,3,610
2,4,4,1120
2,5,5,233
2,6,6,282
2,7,7,471
2,22,7,589
2,8,8,572
2,9,9,295
2,10,10,362
2,2,11,2504
2,11,11,340
2,12,12,559
2,13,13,368
2,14,14,512
2,15,15,49
2,16,16,571
2,17,17,122
2,18,18,350
2,19,19,12
2,20,20,572
2,21,21,544
2,4,23,1420
2,23,23,295
2,24,24,571
2,25,25,353
2,26,26,496
2,27,27,83
2,28,28,107
2,2,29,794
2,29,29,120
2,30,30,569
3,1,1,430
3,3,3,690
3,2,5,3049
3,5,5,281
3,6,6,341
3,7,7,629
3,8,8,667
3,9,9,354
3,10,10,443
3,11,11,384
3,2,12,87
3,12,12,659
3,13,13,426
3,14,14,642
3,15,15,59
3,16,16,648
3,17,17,141
3,18,18,424
3,19,19,15
3,20,20,628
3,21,21,660
3,22,22,758
3,23,23,405
3,24,24,704
3,25,25,447
3,4,26,778
3,26,26,599
3,4,27,2232
3,27,27,102
3,28,28,135
3,2,29,3474
3,29,29,137
3,30,30,673
4,1,1,510
4,2,1,1150
4,3,3,810
4,5,5,326
4,4,6,2854
4,6,6,385
4,7,7,714
4,22,7,166
4,8,8,806
4,9,9,449
4,10,10,500
4,11,11,448
4,12,12,771
4,2,13,1215
4,13,13,546
4,14,14,758
4,15,15,71
4,16,16,750
4,17,17,174
4,18,18,500
4,2,19,4681
4,19,19,19
4,20,20,721
4,2,21,564
4,21,21,737
4,22,22,745
4,23,23,476
4,24,24,852
4,25,25,541
4,26,26,710
4,4,27,916
4,27,27,130
4,28,28,163
4,29,29,164
4,30,30,783
5,1,1,600
5,2,1,7824
5,3,3,1020
5,5,5,411
5,6,6,482
5,7,7,925
5,8,8,1047
5,9,9,532
5,10,10,641
5,11,11,528
5,12,12,864
5,13,13,629
5,14,14,887
5,4,15,2035
5,15,15,79
5,16,16,858
5,17,17,189
5,24,17,807
5,2,18,1506
5,18,18,548
5,19,19,24
5,20,20,858
5,21,21,848
5,22,22,1071
5,4,23,369
5,23,23,573
5,24,24,255
5,4,25,1717
5,25,25,669
5,26,26,828
5,27,27,155
5,28,28,188
5,29,29,183
5,4,30,389
5,30,30,895
6,1,1,760
6,2,2,8017
6,3,3,1160
6,5,5,464
6,6,6,587
6,7,7,1132
6,8,8,1214
6,2,9,2399
6,9,9,643
6,10,10,814
6,11,11,625
6,12,12,1067
6,13,13,775
6,2,14,824
6,14,14,1021
6,15,15,91
6,16,16,1052
6,17,17,221
6,18,18,688
6,19,19,29
6,20,20,1042
6,21,21,1053
6,22,22,1323
6,23,23,690
6,24,24,1273
6,4,25,222
6,25,25,834
6,26,26,1015
6,4,27,1696
6,27,27,189
6,4,28,3782
6,28,28,229
6,29,29,221
6,30,30,1018
7,1,1,910
7,2,1,10602
7,3,3,1410
7,4,3,28
7,4,4,6612
7,5,5,526
7,6,6,693
7,7,7,1371
7,8,8,1405
7,9,9,738
7,2,10,1889
7,10,10,975
7,11,11,779
7,12,12,1250
7,13,13,935
7,14,14,1223
7,15,15,110
7,2,16,531
7,16,16,1305
7,17,17,259
7,18,18,771
7,19,19,36
7,2,20,28
7,20,20,1208
7,21,21,1215
7,22,22,1519
7,23,23,829
7,24,24,1510
7,25,25,988
7,26,26,1113
7,27,27,219
7,28,28,247
7,29,29,264
7,30,30,1302
