q1,q2,q3,q4,q5,q6,q7
1216,350,430,1660,8424,760,11512
0,2612,0,0,0,8017,0
470,610,690,810,1020,1160,1438
0,1120,0,0,0,0,6612
177,233,3330,326,411,464,526
235,282,341,3239,482,587,693
467,1060,629,880,925,1132,1371
248,572,667,806,1047,1214,1405
259,295,354,449,532,3042,738
298,362,443,500,641,814,2864
274,2844,384,448,528,625,779
479,559,746,771,864,1067,1250
304,368,426,1761,629,775,935
424,512,642,758,887,1845,1223
2240,49,59,71,2114,91,110
500,571,648,750,858,1052,1836
3794,122,141,174,996,221,259
304,350,424,500,2054,688,771
9,12,15,4700,24,29,36
500,572,628,721,858,1042,1236
443,544,660,1301,848,1053,1215
497,0,758,745,1071,1323,1519
689,1715,405,476,942,690,829
0,571,704,852,255,1273,1510
286,353,447,541,2386,1056,988
413,496,1377,710,828,1015,1113
70,83,2334,1046,155,1885,219
93,107,135,163,188,4011,247
379,914,3611,164,183,221,264
484,569,673,783,1284,1018,1302
